,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', '##ad']",1,0.33
1,aaf,N,3,"['a', '##af']",1,0.33
2,aagst,N,5,"['a', '##ag', '##st']",2,0.4
3,aakbeest,N,8,"['a', '##ak', '##be', '##est']",3,0.5
4,aakje,N,5,"['a', '##ak', '##je']",2,0.4
5,aaks,N,4,"['a', '##ak', '##s']",2,0.25
6,aakst,N,5,"['a', '##ak', '##st']",2,0.4
7,aakwes,N,6,"['a', '##ak', '##we', '##s']",3,0.33
8,aalde,N,5,"['a', '##ald', '##e']",2,0.4
9,aalden,N,6,"['a', '##ald', '##en']",2,0.5
10,aalder,N,6,"['a', '##ald', '##er']",2,0.5
11,aalgees,N,7,"['a', '##al', '##ge', '##es']",3,0.43
12,aanbok,N,6,"['aan', '##bo', '##k']",2,0.5
13,aanbol,N,6,"['aan', '##bol']",1,0.67
14,aand,N,4,"['aan', '##d']",1,0.5
15,aandge,N,6,"['aan', '##d', '##ge']",2,0.5
16,aangiep,N,7,"['aan', '##g', '##ie', '##p']",3,0.43
17,aankeen,N,7,"['aan', '##ke', '##en']",2,0.57
18,aankeerd,N,8,"['aan', '##ke', '##erd']",2,0.62
19,aankrast,N,8,"['aan', '##kra', '##st']",2,0.62
20,aankruig,N,8,"['aan', '##k', '##ru', '##ig']",3,0.5
21,aannicht,N,8,"['aan', '##n', '##icht']",2,0.62
22,aannorst,N,8,"['aan', '##no', '##r', '##st']",3,0.5
23,aanpijk,N,7,"['aan', '##p', '##ijk']",2,0.57
24,aanplok,N,7,"['aan', '##pl', '##ok']",2,0.57
25,aanpunst,N,8,"['aan', '##p', '##un', '##st']",3,0.5
26,aanrof,N,6,"['aan', '##ro', '##f']",2,0.5
27,aanrus,N,6,"['aan', '##ru', '##s']",2,0.5
28,aans,N,4,"['aan', '##s']",1,0.5
29,aanschijk,N,9,"['aan', '##sch', '##ijk']",2,0.67
30,aanschuw,N,8,"['aan', '##sch', '##uw']",2,0.62
31,aanstaam,N,8,"['aan', '##st', '##a', '##am']",3,0.5
32,aanveeldt,N,9,"['aan', '##veel', '##dt']",2,0.67
33,aanweer,N,7,"['aan', '##we', '##er']",2,0.57
34,aanwid,N,6,"['aan', '##w', '##id']",2,0.5
35,aarbracht,N,9,"['a', '##ar', '##br', '##acht']",3,0.56
36,aarbrang,N,8,"['a', '##ar', '##br', '##ang']",3,0.5
37,aardgoo,N,7,"['a', '##ard', '##go', '##o']",3,0.43
38,aardkil,N,7,"['a', '##ard', '##k', '##il']",3,0.43
39,aardraan,N,8,"['a', '##ard', '##ra', '##an']",3,0.5
40,aardsomst,N,9,"['a', '##ards', '##oms', '##t']",3,0.56
41,aargrift,N,8,"['a', '##arg', '##ri', '##ft']",3,0.5
42,aarhoop,N,7,"['a', '##ar', '##ho', '##op']",3,0.43
43,aarjang,N,7,"['a', '##ar', '##ja', '##n', '##g']",4,0.29
44,aarlang,N,7,"['a', '##arl', '##ang']",2,0.57
45,aarnert,N,7,"['a', '##arn', '##ert']",2,0.57
46,aarplag,N,7,"['a', '##ar', '##pl', '##ag']",3,0.43
47,aarriens,N,8,"['a', '##arr', '##iens']",2,0.62
48,aarschaans,N,10,"['a', '##ars', '##cha', '##ans']",3,0.6
49,aarschein,N,9,"['a', '##ars', '##che', '##in']",3,0.56
50,aarsien,N,7,"['a', '##ars', '##ien']",2,0.57
51,aarst,N,5,"['a', '##ars', '##t']",2,0.4
