,Stimulus,Stdev,Subtokens
11375,illspring,1.547598697464902,"[['i', '##l', '##l', '##s', '##p', '##r', '##ing'], ['ill', '##s', '##pr', '##ing'], ['ill', '##s', '##pr', '##ing'], ['ill', '##sp', '##ring'], ['ill', '##sp', '##ring'], ['ills', '##pring'], ['ills', '##pring'], ['ills', '##pring'], ['ills', '##pring']]"
18966,roadphones,1.547598697464902,"[['r', '##o', '##ad', '##p', '##h', '##one', '##s'], ['road', '##ph', '##ones'], ['road', '##ph', '##ones'], ['road', '##phones'], ['road', '##phones'], ['road', '##phones'], ['road', '##phones'], ['road', '##phones'], ['road', '##phones']]"
19731,schoolfound,1.547598697464902,"[['sc', '##h', '##o', '##ol', '##f', '##ou', '##nd'], ['school', '##f', '##ound'], ['school', '##f', '##ound'], ['school', '##found'], ['school', '##found'], ['school', '##found'], ['school', '##found'], ['school', '##found'], ['school', '##found']]"
20990,skuffboards,1.547598697464902,"[['s', '##k', '##u', '##ff', '##b', '##o', '##ard', '##s'], ['sk', '##uff', '##bo', '##ards'], ['sk', '##uff', '##board', '##s'], ['sk', '##uff', '##boards'], ['sk', '##uff', '##boards'], ['sk', '##uff', '##boards'], ['sk', '##uff', '##boards'], ['sk', '##uff', '##boards'], ['sk', '##uff', '##boards']]"
23425,sweattrips,1.547598697464902,"[['s', '##w', '##e', '##at', '##t', '##r', '##ip', '##s'], ['swe', '##att', '##ri', '##ps'], ['swe', '##att', '##ri', '##ps'], ['sweat', '##tr', '##ips'], ['sweat', '##tr', '##ips'], ['sweat', '##tr', '##ips'], ['sweat', '##tri', '##ps'], ['sweat', '##tr', '##ips'], ['sweat', '##tr', '##ips']]"
11374,illspread,1.5234788000891208,"[['i', '##l', '##l', '##s', '##p', '##re', '##ad'], ['ill', '##s', '##pr', '##ead'], ['ill', '##s', '##pread'], ['ill', '##sp', '##read'], ['ill', '##sp', '##read'], ['ills', '##pread'], ['ills', '##pread'], ['ills', '##pread'], ['ills', '##pread']]"
11704,isslaughts,1.5234788000891206,"[['is', '##s', '##l', '##a', '##u', '##gh', '##t', '##s'], ['iss', '##l', '##aught', '##s'], ['iss', '##la', '##ugh', '##ts'], ['iss', '##laught', '##s'], ['iss', '##la', '##ught', '##s'], ['iss', '##laught', '##s'], ['iss', '##laught', '##s'], ['iss', '##laught', '##s'], ['iss', '##laught', '##s']]"
20926,sixtooths,1.5234788000891206,"[['s', '##i', '##x', '##t', '##o', '##ot', '##h', '##s'], ['six', '##to', '##oth', '##s'], ['six', '##to', '##oth', '##s'], ['six', '##to', '##oths'], ['six', '##to', '##oth', '##s'], ['sixt', '##ooth', '##s'], ['sixt', '##ooth', '##s'], ['sixt', '##ooth', '##s'], ['sixt', '##ooth', '##s']]"
21457,sneerhouse,1.4989708403591155,"[['s', '##n', '##e', '##er', '##h', '##ous', '##e'], ['sn', '##ee', '##r', '##h', '##ouse'], ['sne', '##er', '##house'], ['sne', '##er', '##house'], ['sne', '##er', '##house'], ['sneer', '##house'], ['sneer', '##house'], ['sne', '##er', '##house'], ['sne', '##er', '##house']]"
2712,bulkboads,1.4907119849998598,"[['b', '##ul', '##k', '##b', '##o', '##ad', '##s'], ['bu', '##l', '##k', '##bo', '##ad', '##s'], ['bul', '##k', '##bo', '##ad', '##s'], ['bulk', '##bo', '##ads'], ['bulk', '##bo', '##ads'], ['bulk', '##boa', '##ds'], ['bulk', '##boa', '##ds'], ['bulk', '##boa', '##ds'], ['bulk', '##bo', '##ads']]"
