,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,['aband'],0,0.8
2,abayed,N,6,"['ab', 'ay', 'ed']",2,0.5
3,abbear,N,6,"['ab', 'bear']",1,0.67
4,abbears,N,7,"['ab', 'bears']",1,0.71
5,abbens,N,6,"['ab', 'ben', 's']",2,0.5
6,abchaim,N,7,"['ab', 'cha', 'im']",2,0.57
7,abects,N,6,"['abe', 'cts']",1,0.67
8,abeme,N,5,"['abe', 'me']",1,0.6
9,abents,N,6,"['ab', 'ents']",1,0.67
10,abests,N,6,"['ab', 'ests']",1,0.67
11,abik,N,4,"['ab', 'ik']",1,0.5
12,ablobs,N,6,"['ablo', 'bs']",1,0.67
13,abme,N,4,"['ab', 'me']",1,0.5
14,abne,N,4,"['ab', 'ne']",1,0.5
15,abone,N,5,"['ab', 'one']",1,0.6
16,abones,N,6,"['ab', 'ones']",1,0.67
17,abow,N,4,"['ab', 'ow']",1,0.5
18,abran,N,5,"['ab', 'ran']",1,0.6
19,abrass,N,6,"['ab', 'ras', 's']",2,0.5
20,abrast,N,6,"['abr', 'ast']",1,0.67
21,abre,N,4,['abre'],0,0.75
22,abreeves,N,8,"['ab', 'ree', 'ves']",2,0.62
23,abroths,N,7,"['abro', 'th', 's']",2,0.57
24,abrush,N,6,"['ab', 'rush']",1,0.67
25,abscrict,N,8,"['ab', 'scr', 'ic', 't']",3,0.5
26,abscue,N,6,"['abs', 'cue']",1,0.67
27,abscued,N,7,"['abs', 'cu', 'ed']",2,0.57
28,abscusts,N,8,"['abs', 'cus', 'ts']",2,0.62
29,absians,N,7,"['ab', 'sians']",1,0.71
30,absidge,N,7,"['abs', 'idge']",1,0.71
31,absigned,N,8,"['ab', 'signed']",1,0.75
32,absincts,N,8,"['ab', 'sin', 'cts']",2,0.62
33,absipsed,N,8,"['ab', 'sip', 'sed']",2,0.62
34,absirl,N,6,"['ab', 'sir', 'l']",2,0.5
35,abslete,N,7,"['ab', 'sle', 'te']",2,0.57
36,absletes,N,8,"['ab', 'sle', 'tes']",2,0.62
37,absord,N,6,"['abs', 'ord']",1,0.67
38,absords,N,7,"['abs', 'ord', 's']",2,0.57
39,absost,N,6,"['abs', 'ost']",1,0.67
40,absosts,N,7,"['ab', 'sos', 'ts']",2,0.57
41,absount,N,7,"['abs', 'ount']",1,0.71
42,absounts,N,8,"['abs', 'oun', 'ts']",2,0.62
43,abstrade,N,8,"['ab', 'stra', 'de']",2,0.62
44,abstrides,N,9,"['ab', 'stri', 'des']",2,0.67
45,abstuened,N,9,"['ab', 'stu', 'en', 'ed']",3,0.56
46,abstuent,N,8,"['ab', 'stu', 'ent']",2,0.62
47,absuse,N,6,"['ab', 'su', 'se']",2,0.5
48,absused,N,7,"['ab', 'su', 'sed']",2,0.57
49,abud,N,4,"['ab', 'ud']",1,0.5
50,abusts,N,6,"['abus', 'ts']",1,0.67
51,abvid,N,5,"['ab', 'vid']",1,0.6
52,abwipt,N,6,"['ab', 'wi', 'pt']",2,0.5
53,acaned,N,6,"['ac', 'an', 'ed']",2,0.5
54,acax,N,4,"['aca', 'x']",1,0.5
55,accar,N,5,"['ac', 'car']",1,0.6
56,accars,N,6,"['ac', 'cars']",1,0.67
57,acclo,N,5,"['ac', 'clo']",1,0.6
58,accrieve,N,8,"['ac', 'cr', 'ieve']",2,0.62
59,accrieved,N,9,"['ac', 'cr', 'ie', 'ved']",3,0.56
60,accrond,N,7,"['ac', 'cr', 'ond']",2,0.57
61,accubes,N,7,"['accu', 'bes']",1,0.71
62,accult,N,6,"['ac', 'cult']",1,0.67
63,accune,N,6,"['ac', 'cune']",1,0.67
64,accurd,N,6,"['accur', 'd']",1,0.67
65,accures,N,7,"['accur', 'es']",1,0.71
66,accusts,N,7,"['accus', 'ts']",1,0.71
67,aced,N,4,"['a', 'ced']",1,0.5
68,achens,N,6,"['ach', 'ens']",1,0.67
69,achms,N,5,"['ach', 'ms']",1,0.6
70,achop,N,5,"['ach', 'op']",1,0.6
71,aciss,N,5,"['ac', 'iss']",1,0.6
72,acive,N,5,"['aci', 've']",1,0.6
73,acks,N,4,['acks'],0,0.75
74,acloot,N,6,"['ac', 'loot']",1,0.67
75,acnant,N,6,"['ac', 'nant']",1,0.67
76,acone,N,5,"['a', 'cone']",1,0.6
77,acorked,N,7,"['acor', 'ked']",1,0.71
78,acqure,N,6,"['acqu', 're']",1,0.67
79,acqured,N,7,"['acqu', 'red']",1,0.71
80,acreds,N,6,"['ac', 'red', 's']",2,0.5
81,acruist,N,7,"['ac', 'ru', 'ist']",2,0.57
82,acsuakes,N,8,"['ac', 'su', 'akes']",2,0.62
83,acter,N,5,['acter'],0,0.8
84,acters,N,6,['acters'],0,0.83
85,actot,N,5,"['ac', 'tot']",1,0.6
86,acung,N,5,"['ac', 'ung']",1,0.6
87,adaints,N,7,"['ada', 'ints']",1,0.71
88,adbells,N,7,"['ad', 'bel', 'ls']",2,0.57
89,adbly,N,5,"['ad', 'bly']",1,0.6
90,adbries,N,7,"['ad', 'b', 'ries']",2,0.57
91,adbu,N,4,"['ad', 'bu']",1,0.5
92,adbys,N,5,"['ad', 'by', 's']",2,0.4
93,adcorb,N,6,"['ad', 'cor', 'b']",2,0.5
94,adcorbs,N,7,"['ad', 'cor', 'bs']",2,0.57
95,adcorts,N,7,"['ad', 'cor', 'ts']",2,0.57
96,addal,N,5,"['ad', 'dal']",1,0.6
97,addaled,N,7,"['ad', 'dal', 'ed']",2,0.57
98,addave,N,6,"['ad', 'da', 've']",2,0.5
