,Stimulus,Stdev,Subtokens
7517,neushoorns,1.699673171197595,"[['n', '##e', '##us', '##h', '##oor', '##n', '##s'], ['ne', '##us', '##h', '##oorn', '##s'], ['neus', '##ho', '##orn', '##s'], ['neus', '##hoorn', '##s'], ['neus', '##hoorn', '##s'], ['neushoorn', '##s'], ['neushoorns'], ['neushoorn', '##s'], ['neus', '##hoorn', '##s']]"
8136,pelgrims,1.699673171197595,"[['p', '##el', '##g', '##r', '##im', '##s'], ['pe', '##l', '##gr', '##im', '##s'], ['pel', '##gr', '##im', '##s'], ['pel', '##grim', '##s'], ['pel', '##gr', '##ims'], ['pelgrims'], ['pelgrims'], ['pelgrims'], ['pel', '##grim', '##s']]"
8206,piepklein,1.699673171197595,"[['p', '##ie', '##p', '##k', '##le', '##in'], ['p', '##iep', '##kl', '##e', '##in'], ['p', '##iep', '##kle', '##in'], ['piep', '##kle', '##in'], ['piep', '##kle', '##in'], ['piepklein'], ['piepklein'], ['piepklein'], ['piep', '##kle', '##in']]"
9129,roddels,1.699673171197595,"[['r', '##od', '##de', '##l', '##s'], ['r', '##od', '##de', '##l', '##s'], ['r', '##od', '##del', '##s'], ['rodd', '##els'], ['ro', '##d', '##del', '##s'], ['roddels'], ['roddels'], ['roddels'], ['roddels']]"
1758,cowboy,1.6850834320114558,"[['c', '##o', '##w', '##b', '##o', '##y'], ['co', '##w', '##bo', '##y'], ['co', '##w', '##bo', '##y'], ['cowbo', '##y'], ['co', '##w', '##bo', '##y'], ['cowboy'], ['cowboy'], ['cowboy'], ['cowbo', '##y']]"
3814,gletsjer,1.6850834320114556,"[['g', '##le', '##t', '##s', '##je', '##r'], ['gl', '##ets', '##je', '##r'], ['gl', '##ets', '##jer'], ['gletsjer'], ['glets', '##jer'], ['gletsjer'], ['gletsjer'], ['gletsjer'], ['gletsjer']]"
1486,buikgriep,1.6850834320114554,"[['b', '##ui', '##k', '##g', '##r', '##ie', '##p'], ['b', '##uik', '##gr', '##iep'], ['buik', '##gr', '##iep'], ['buik', '##griep'], ['buik', '##griep'], ['buik', '##griep'], ['buikgriep'], ['buik', '##griep'], ['buik', '##griep']]"
3075,frequent,1.6629588385661962,"[['f', '##re', '##q', '##u', '##ent'], ['fr', '##e', '##que', '##n', '##t'], ['fr', '##e', '##quent'], ['frequent'], ['frequent'], ['frequent'], ['frequent'], ['frequent'], ['frequent']]"
9259,rotzooi,1.6629588385661962,"[['r', '##ot', '##z', '##oo', '##i'], ['r', '##ot', '##zo', '##o', '##i'], ['rot', '##zo', '##oi'], ['rotzooi'], ['rotzooi'], ['rotzooi'], ['rotzooi'], ['rotzooi'], ['rotzooi']]"
9414,scepsis,1.6629588385661962,"[['s', '##c', '##e', '##p', '##s', '##is'], ['sc', '##ep', '##si', '##s'], ['sc', '##ep', '##si', '##s'], ['sce', '##ps', '##is'], ['sc', '##ep', '##si', '##s'], ['scepsis'], ['scepsis'], ['scepsis'], ['sce', '##psis']]"
6842,machtsstrijd,1.640535895581489,"[['ma', '##cht', '##ss', '##t', '##rij', '##d'], ['macht', '##ss', '##tr', '##ijd'], ['macht', '##ss', '##tr', '##ijd'], ['machts', '##strijd'], ['machts', '##strijd'], ['machtsstrijd'], ['machtsstrijd'], ['machtsstrijd'], ['machts', '##strijd']]"
