,Stimulus,Stdev,Subtokens
3874,goudplein,1.257078722109418,"[['g', '##ou', '##d', '##pl', '##e', '##in'], ['goud', '##ple', '##in'], ['goud', '##plein'], ['goud', '##plein'], ['goud', '##plein'], ['goud', '##plein'], ['goud', '##plein'], ['goud', '##plein'], ['goud', '##plein']]"
4742,hoofdstaart,1.257078722109418,"[['h', '##oof', '##d', '##st', '##aar', '##t'], ['hoofdst', '##aart'], ['hoofdst', '##aart'], ['hoofdst', '##aart'], ['hoofdst', '##aart'], ['hoofdst', '##aart'], ['hoofdst', '##aart'], ['hoofdst', '##aart'], ['hoofdst', '##aart']]"
5091,joestvriend,1.257078722109418,"[['j', '##oe', '##st', '##v', '##r', '##ien', '##d'], ['j', '##oest', '##vr', '##iend'], ['j', '##oest', '##vriend'], ['jo', '##est', '##vriend'], ['j', '##oest', '##vriend'], ['jo', '##est', '##vriend'], ['jo', '##est', '##vriend'], ['jo', '##est', '##vriend'], ['jo', '##est', '##vriend']]"
5301,keihost,1.257078722109418,"[['k', '##e', '##i', '##h', '##os', '##t'], ['ke', '##ih', '##ost'], ['keih', '##ost'], ['keih', '##ost'], ['keih', '##ost'], ['keih', '##ost'], ['keih', '##ost'], ['keih', '##ost'], ['keih', '##ost']]"
8316,parkzers,1.257078722109418,"[['p', '##ar', '##k', '##ze', '##r', '##s'], ['park', '##zer', '##s'], ['park', '##zers'], ['park', '##zers'], ['park', '##zers'], ['park', '##zers'], ['park', '##zers'], ['park', '##zers'], ['park', '##zers']]"
9381,rookvliem,1.257078722109418,"[['r', '##oo', '##k', '##v', '##l', '##ie', '##m'], ['rook', '##vl', '##iem'], ['rook', '##vlie', '##m'], ['rook', '##vlie', '##m'], ['rook', '##vlie', '##m'], ['rook', '##vlie', '##m'], ['rook', '##vlie', '##m'], ['rook', '##vlie', '##m'], ['rook', '##vlie', '##m']]"
10162,slechtkarm,1.257078722109418,"[['sl', '##ec', '##h', '##t', '##k', '##ar', '##m'], ['slecht', '##k', '##arm'], ['slecht', '##ka', '##r', '##m'], ['slecht', '##kar', '##m'], ['slecht', '##kar', '##m'], ['slecht', '##kar', '##m'], ['slecht', '##kar', '##m'], ['slecht', '##kar', '##m'], ['slecht', '##kar', '##m']]"
5883,korstzis,1.2570787221094177,"[['ko', '##r', '##st', '##z', '##is'], ['ko', '##r', '##st', '##zi', '##s'], ['ko', '##r', '##st', '##zi', '##s'], ['kor', '##st', '##zi', '##s'], ['kor', '##st', '##zi', '##s'], ['korst', '##zis'], ['korst', '##zis'], ['korst', '##zis'], ['kor', '##st', '##zis']]"
4125,haalwaarts,1.247219128924647,"[['h', '##aal', '##w', '##aar', '##t', '##s'], ['haal', '##waar', '##ts'], ['haal', '##waar', '##ts'], ['haal', '##waarts'], ['haal', '##waarts'], ['haal', '##waarts'], ['haal', '##waarts'], ['haal', '##waarts'], ['haal', '##waarts']]"
4741,hoofdried,1.247219128924647,"[['h', '##oof', '##d', '##r', '##ie', '##d'], ['hoofd', '##rie', '##d'], ['hoofd', '##rie', '##d'], ['hoofd', '##ried'], ['hoofd', '##ried'], ['hoofd', '##ried'], ['hoofd', '##ried'], ['hoofd', '##ried'], ['hoofd', '##ried']]"
5181,kajars,1.247219128924647,"[['k', '##a', '##j', '##ar', '##s'], ['k', '##a', '##ja', '##r', '##s'], ['k', '##a', '##ja', '##r', '##s'], ['k', '##aj', '##ars'], ['k', '##aj', '##ars'], ['kaj', '##ars'], ['kaj', '##ars'], ['kaj', '##ars'], ['k', '##aj', '##ars']]"
9944,schuinvaart,1.247219128924647,"[['sch', '##ui', '##n', '##v', '##aar', '##t'], ['sch', '##uin', '##vaart'], ['sch', '##uin', '##vaart'], ['schuin', '##vaart'], ['schuin', '##vaart'], ['schuin', '##vaart'], ['schuin', '##vaart'], ['schuin', '##vaart'], ['schuin', '##vaart']]"
10790,stadskool,1.247219128924647,"[['st', '##ad', '##s', '##k', '##oo', '##l'], ['stads', '##k', '##ool'], ['stads', '##ko', '##ol'], ['stads', '##kool'], ['stads', '##kool'], ['stads', '##kool'], ['stads', '##kool'], ['stads', '##kool'], ['stads', '##kool']]"
11208,stripsels,1.247219128924647,"[['st', '##r', '##ip', '##se', '##l', '##s'], ['str', '##ips', '##els'], ['str', '##ips', '##els'], ['strip', '##sels'], ['strip', '##sels'], ['strips', '##els'], ['strips', '##els'], ['strips', '##els'], ['strip', '##sels']]"
11289,stuitgroep,1.247219128924647,"[['st', '##uit', '##g', '##ro', '##e', '##p'], ['st', '##uit', '##groep'], ['st', '##uit', '##groep'], ['stuit', '##groep'], ['stuit', '##groep'], ['stuit', '##groep'], ['stuit', '##groep'], ['stuit', '##groep'], ['stuit', '##groep']]"
1147,bootkunst,1.227262335243029,"[['bo', '##ot', '##k', '##un', '##st'], ['bo', '##ot', '##k', '##un', '##st'], ['boot', '##kun', '##st'], ['boot', '##kunst'], ['boot', '##kunst'], ['boot', '##kunst'], ['boot', '##kunst'], ['boot', '##kunst'], ['boot', '##kunst']]"
