,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
10638,hempies,N,7,"['h', 'emp', 'i', 'e', 's']",4,0.29
10639,hemping,N,7,"['h', 'emp', 'ing']",2,0.57
10640,hempkeet,N,8,"['h', 'emp', 'k', 'e', 'e', 't']",5,0.25
10641,hempo,N,5,"['h', 'emp', 'o']",2,0.4
10642,hempos,N,6,"['h', 'emp', 'o', 's']",3,0.33
10643,hemtack,N,7,"['he', 'm', 't', 'a', 'ck']",4,0.29
10644,hencedog,N,8,"['h', 'en', 'ce', 'd', 'o', 'g']",5,0.25
10645,henciers,N,8,"['h', 'en', 'ci', 'er', 's']",4,0.38
10646,hencing,N,7,"['h', 'en', 'c', 'ing']",3,0.43
10647,henction,N,8,"['h', 'en', 'c', 'tion']",3,0.5
10648,henctions,N,9,"['h', 'en', 'c', 'tion', 's']",4,0.44
10649,hend,N,4,"['h', 'en', 'd']",2,0.25
10650,hends,N,5,"['h', 'en', 'd', 's']",3,0.2
10651,henmeshed,N,9,"['h', 'en', 'mes', 'he', 'd']",4,0.44
10652,henned,N,6,"['h', 'en', 'n', 'e', 'd']",4,0.17
10653,hennu,N,5,"['h', 'en', 'n', 'u']",3,0.2
10654,hense,N,5,"['h', 'en', 's', 'e']",3,0.2
10655,hensenen,N,8,"['h', 'en', 's', 'en', 'en']",4,0.38
10656,hent,N,4,"['h', 'ent']",1,0.5
10657,henths,N,6,"['h', 'en', 'th', 's']",3,0.33
10658,hents,N,5,"['h', 'ent', 's']",2,0.4
10659,heopes,N,6,"['he', 'op', 'e', 's']",3,0.33
10660,heper,N,5,"['he', 'per']",1,0.6
10661,hepers,N,6,"['he', 'per', 's']",2,0.5
10662,hepest,N,6,"['he', 'p', 'est']",2,0.5
10663,hepped,N,6,"['he', 'p', 'p', 'e', 'd']",4,0.17
10664,heps,N,4,"['he', 'p', 's']",2,0.25
10665,heq,N,3,"['he', 'q']",1,0.33
10666,hequefoche,N,10,"['he', 'que', 'f', 'o', 'che']",4,0.5
10667,herbled,N,7,"['her', 'b', 'le', 'd']",3,0.43
10668,herbuts,N,7,"['her', 'but', 's']",2,0.57
10669,herehath,N,8,"['her', 'e', 'ha', 'th']",3,0.5
10670,herelights,N,10,"['her', 'el', 'igh', 't', 's']",4,0.5
10671,hereness,N,8,"['her', 'en', 'e', 's', 's']",4,0.38
10672,herge,N,5,"['her', 'ge']",1,0.6
10673,herk,N,4,"['her', 'k']",1,0.5
10674,hermects,N,8,"['her', 'me', 'c', 't', 's']",4,0.38
10675,hern,N,4,"['her', 'n']",1,0.5
10676,hernent,N,7,"['her', 'n', 'ent']",2,0.57
10677,herpolf,N,7,"['her', 'po', 'l', 'f']",3,0.43
10678,herps,N,5,"['her', 'p', 's']",2,0.4
10679,herrens,N,7,"['her', 'r', 'en', 's']",3,0.43
10680,herroft,N,7,"['her', 'r', 'of', 't']",3,0.43
10681,hertive,N,7,"['her', 't', 'ive']",2,0.57
10682,hertsy,N,6,"['her', 't', 's', 'y']",3,0.33
10683,herved,N,6,"['her', 've', 'd']",2,0.5
10684,hesaps,N,6,"['he', 's', 'a', 'p', 's']",4,0.17
10685,hesaves,N,7,"['he', 's', 'a', 've', 's']",4,0.29
10686,hesh,N,4,"['he', 's', 'h']",2,0.25
10687,hesher,N,6,"['he', 's', 'her']",2,0.5
10688,hesk,N,4,"['he', 's', 'k']",2,0.25
10689,hesp,N,4,"['he', 's', 'p']",2,0.25
10690,hessed,N,6,"['he', 's', 's', 'e', 'd']",4,0.17
10691,hessock,N,7,"['he', 's', 's', 'o', 'ck']",4,0.29
10692,hessocks,N,8,"['he', 's', 's', 'o', 'ck', 's']",5,0.25
10693,hessoln,N,7,"['he', 's', 'sol', 'n']",3,0.43
10694,hesteen,N,7,"['h', 'este', 'en']",2,0.57
10695,hesteened,N,9,"['h', 'este', 'en', 'e', 'd']",4,0.44
10696,hestier,N,7,"['h', 'est', 'ier']",2,0.57
10697,hestike,N,7,"['h', 'est', 'ik', 'e']",3,0.43
10698,hests,N,5,"['h', 'est', 's']",2,0.4
10699,hetch,N,5,"['het', 'ch']",1,0.6
10700,hetched,N,7,"['het', 'che', 'd']",2,0.57
10701,heter,N,5,"['het', 'er']",1,0.6
10702,heters,N,6,"['het', 'er', 's']",2,0.5
10703,hethed,N,6,"['he', 'the', 'd']",2,0.5
10704,hethly,N,6,"['het', 'h', 'ly']",2,0.5
10705,hetlists,N,8,"['het', 'l', 'is', 't', 's']",4,0.38
10706,hets,N,4,"['het', 's']",1,0.5
10707,hetters,N,7,"['het', 'ter', 's']",2,0.57
10708,hetts,N,5,"['het', 't', 's']",2,0.4
