Vocabulary Size,"1,000","5,000","10,000","20,000",30000,40000,50000,60000,70000
English,0.12,0.24,0.31,0.38,0.43,0.46,0.48,0.49,0.49
Dutch,0.14,0.23,0.31,0.38,0.42,0.44,0.45,0.45,0.46
French,0.11,0.2,0.26,0.32,0.35,0.36,0.37,0.37,0.37
Spanish,0.18,0.26,0.31,0.37,0.42,0.46,0.48,0.5,0.52
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
