,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,aad,N,3,"['a', '##ad']",1,0.33
1,aaf,N,3,"['a', '##a', '##f']",2,0.0
2,aagst,N,5,"['a', '##ag', '##st']",2,0.4
3,aakbeest,N,8,"['a', '##ak', '##b', '##e', '##est']",4,0.38
4,aakje,N,5,"['a', '##ak', '##j', '##e']",3,0.2
5,aaks,N,4,"['a', '##ak', '##s']",2,0.25
6,aakst,N,5,"['a', '##ak', '##st']",2,0.4
7,aakwes,N,6,"['a', '##ak', '##w', '##es']",3,0.33
8,aalde,N,5,"['a', '##al', '##de']",2,0.4
9,aalden,N,6,"['a', '##al', '##den']",2,0.5
10,aalder,N,6,"['a', '##al', '##der']",2,0.5
11,aalgees,N,7,"['a', '##al', '##ge', '##es']",3,0.43
12,aanbok,N,6,"['a', '##an', '##b', '##ok']",3,0.33
13,aanbol,N,6,"['a', '##an', '##b', '##ol']",3,0.33
14,aand,N,4,"['a', '##and']",1,0.5
15,aandge,N,6,"['a', '##and', '##ge']",2,0.5
16,aangiep,N,7,"['a', '##an', '##g', '##ie', '##p']",4,0.29
17,aankeen,N,7,"['a', '##an', '##k', '##e', '##en']",4,0.29
18,aankeerd,N,8,"['a', '##an', '##k', '##e', '##er', '##d']",5,0.25
19,aankrast,N,8,"['a', '##an', '##k', '##ra', '##st']",4,0.38
20,aankruig,N,8,"['a', '##an', '##k', '##ru', '##ig']",4,0.38
21,aannicht,N,8,"['a', '##an', '##n', '##ic', '##ht']",4,0.38
22,aannorst,N,8,"['a', '##an', '##n', '##or', '##st']",4,0.38
23,aanpijk,N,7,"['a', '##an', '##p', '##ijk']",3,0.43
24,aanplok,N,7,"['a', '##an', '##p', '##lo', '##k']",4,0.29
25,aanpunst,N,8,"['a', '##an', '##p', '##un', '##st']",4,0.38
26,aanrof,N,6,"['a', '##an', '##ro', '##f']",3,0.33
27,aanrus,N,6,"['a', '##an', '##ru', '##s']",3,0.33
28,aans,N,4,"['a', '##ans']",1,0.5
29,aanschijk,N,9,"['a', '##ans', '##ch', '##ijk']",3,0.56
30,aanschuw,N,8,"['a', '##ans', '##ch', '##u', '##w']",4,0.38
31,aanstaam,N,8,"['a', '##ans', '##ta', '##am']",3,0.5
32,aanveeldt,N,9,"['a', '##an', '##v', '##e', '##el', '##d', '##t']",6,0.22
33,aanweer,N,7,"['a', '##an', '##w', '##e', '##er']",4,0.29
34,aanwid,N,6,"['a', '##an', '##w', '##id']",3,0.33
35,aarbracht,N,9,"['a', '##ar', '##b', '##ra', '##ch', '##t']",5,0.33
36,aarbrang,N,8,"['a', '##ar', '##b', '##ra', '##n', '##g']",5,0.25
