,Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness
0,a/c,N,3,"['a', '/', 'c']",2,0.0
1,aband,N,5,"['a', 'b', 'and']",2,0.4
2,abayed,N,6,"['a', 'b', 'a', 'y', 'ed']",4,0.17
3,abbear,N,6,"['a', 'b', 'bear']",2,0.5
4,abbears,N,7,"['a', 'b', 'bear', 's']",3,0.43
5,abbens,N,6,"['a', 'b', 'be', 'n', 's']",4,0.17
6,abchaim,N,7,"['a', 'b', 'ch', 'a', 'im']",4,0.29
7,abects,N,6,"['a', 'be', 'c', 't', 's']",4,0.17
8,abeme,N,5,"['a', 'be', 'me']",2,0.4
9,abents,N,6,"['a', 'b', 'ent', 's']",3,0.33
10,abests,N,6,"['a', 'best', 's']",2,0.5
11,abik,N,4,"['a', 'b', 'ik']",2,0.25
12,ablobs,N,6,"['a', 'b', 'l', 'o', 'b', 's']",5,0.0
13,abme,N,4,"['a', 'b', 'me']",2,0.25
14,abne,N,4,"['a', 'b', 'n', 'e']",3,0.0
15,abone,N,5,"['a', 'b', 'one']",2,0.4
16,abones,N,6,"['a', 'b', 'one', 's']",3,0.33
17,abow,N,4,"['a', 'bow']",1,0.5
18,abran,N,5,"['a', 'bra', 'n']",2,0.4
19,abrass,N,6,"['a', 'bra', 's', 's']",3,0.33
20,abrast,N,6,"['a', 'bra', 's', 't']",3,0.33
21,abre,N,4,"['a', 'b', 're']",2,0.25
22,abreeves,N,8,"['a', 'b', 're', 'e', 'ves']",4,0.38
23,abroths,N,7,"['a', 'bro', 'th', 's']",3,0.43
24,abrush,N,6,"['a', 'b', 'rush']",2,0.5
25,abscrict,N,8,"['a', 'b', 's', 'c', 'ric', 't']",5,0.25
26,abscue,N,6,"['a', 'b', 's', 'cu', 'e']",4,0.17
27,abscued,N,7,"['a', 'b', 's', 'cu', 'ed']",4,0.29
28,abscusts,N,8,"['a', 'b', 's', 'cu', 's', 't', 's']",6,0.12
29,absians,N,7,"['a', 'b', 's', 'ians']",3,0.43
30,absidge,N,7,"['a', 'b', 's', 'i', 'd', 'ge']",5,0.14
31,absigned,N,8,"['a', 'b', 'sign', 'ed']",3,0.5
32,absincts,N,8,"['a', 'b', 's', 'in', 'c', 't', 's']",6,0.12
33,absipsed,N,8,"['a', 'b', 's', 'i', 'p', 's', 'ed']",6,0.12
34,absirl,N,6,"['a', 'b', 's', 'i', 'r', 'l']",5,0.0
35,abslete,N,7,"['a', 'b', 's', 'let', 'e']",4,0.29
36,absletes,N,8,"['a', 'b', 's', 'let', 'e', 's']",5,0.25
37,absord,N,6,"['a', 'b', 's', 'or', 'd']",4,0.17
38,absords,N,7,"['a', 'b', 's', 'or', 'd', 's']",5,0.14
39,absost,N,6,"['a', 'b', 's', 'o', 's', 't']",5,0.0
40,absosts,N,7,"['a', 'b', 's', 'o', 's', 't', 's']",6,0.0
41,absount,N,7,"['a', 'b', 's', 'o', 'un', 't']",5,0.14
42,absounts,N,8,"['a', 'b', 's', 'o', 'un', 't', 's']",6,0.12
43,abstrade,N,8,"['a', 'b', 's', 'trade']",3,0.5
44,abstrides,N,9,"['a', 'b', 's', 't', 'ride', 's']",5,0.33
45,abstuened,N,9,"['a', 'b', 's', 't', 'u', 'e', 'n', 'ed']",7,0.11
46,abstuent,N,8,"['a', 'b', 's', 't', 'u', 'ent']",5,0.25
47,absuse,N,6,"['a', 'b', 's', 'use']",3,0.33
48,absused,N,7,"['a', 'b', 's', 'us', 'ed']",4,0.29
49,abud,N,4,"['a', 'bu', 'd']",2,0.25
50,abusts,N,6,"['a', 'bus', 't', 's']",3,0.33
51,abvid,N,5,"['a', 'b', 'vi', 'd']",3,0.2
52,abwipt,N,6,"['a', 'b', 'w', 'i', 'p', 't']",5,0.0
53,acaned,N,6,"['a', 'can', 'ed']",2,0.5
54,acax,N,4,"['a', 'c', 'ax']",2,0.25
55,accar,N,5,"['a', 'c', 'car']",2,0.4
56,accars,N,6,"['a', 'c', 'car', 's']",3,0.33
57,acclo,N,5,"['a', 'c', 'c', 'l', 'o']",4,0.0
58,accrieve,N,8,"['a', 'c', 'c', 'rie', 've']",4,0.38
59,accrieved,N,9,"['a', 'c', 'c', 'rie', 've', 'd']",5,0.33
60,accrond,N,7,"['a', 'c', 'cro', 'n', 'd']",4,0.29
61,accubes,N,7,"['a', 'c', 'cu', 'be', 's']",4,0.29
62,accult,N,6,"['a', 'c', 'cul', 't']",3,0.33
63,accune,N,6,"['a', 'c', 'c', 'un', 'e']",4,0.17
64,accurd,N,6,"['a', 'c', 'cur', 'd']",3,0.33
65,accures,N,7,"['a', 'c', 'cur', 'e', 's']",4,0.29
66,accusts,N,7,"['accus', 't', 's']",2,0.57
67,aced,N,4,"['a', 'c', 'ed']",2,0.25
68,achens,N,6,"['a', 'che', 'n', 's']",3,0.33
69,achms,N,5,"['ach', 'm', 's']",2,0.4
70,achop,N,5,"['a', 'cho', 'p']",2,0.4
71,aciss,N,5,"['a', 'c', 'is', 's']",3,0.2
72,acive,N,5,"['a', 'c', 'ive']",2,0.4
73,acks,N,4,"['a', 'ck', 's']",2,0.25
74,acloot,N,6,"['a', 'c', 'loot']",2,0.5
75,acnant,N,6,"['a', 'c', 'n', 'an', 't']",4,0.17
76,acone,N,5,"['a', 'con', 'e']",2,0.4
77,acorked,N,7,"['a', 'c', 'or', 'k', 'ed']",4,0.29
78,acqure,N,6,"['a', 'c', 'qu', 're']",3,0.33
79,acqured,N,7,"['a', 'c', 'qu', 'red']",3,0.43
80,acreds,N,6,"['acre', 'd', 's']",2,0.5
81,acruist,N,7,"['a', 'c', 'ru', 'is', 't']",4,0.29
82,acsuakes,N,8,"['a', 'c', 's', 'u', 'ake', 's']",5,0.25
83,acter,N,5,"['act', 'er']",1,0.6
84,acters,N,6,"['act', 'ers']",1,0.67
85,actot,N,5,"['act', 'o', 't']",2,0.4
86,acung,N,5,"['a', 'c', 'ung']",2,0.4
87,adaints,N,7,"['a', 'd', 'a', 'in', 't', 's']",5,0.14
88,adbells,N,7,"['a', 'd', 'be', 'll', 's']",4,0.29
89,adbly,N,5,"['a', 'd', 'b', 'ly']",3,0.2
90,adbries,N,7,"['a', 'd', 'b', 'ries']",3,0.43
91,adbu,N,4,"['a', 'd', 'bu']",2,0.25
92,adbys,N,5,"['a', 'd', 'by', 's']",3,0.2
93,adcorb,N,6,"['a', 'd', 'c', 'or', 'b']",4,0.17
94,adcorbs,N,7,"['a', 'd', 'c', 'or', 'b', 's']",5,0.14
95,adcorts,N,7,"['a', 'd', 'c', 'or', 't', 's']",5,0.14
